id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-971451,2019-02-11,000001,Vente,520000,11,T,RUE DE LA FERME,3525,92100,92012,Boulogne-Billancourt,92,,,92012000AV0129,,,239,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.238976,48.831054
2019-971451,2019-02-11,000001,Vente,520000,11,,RUE DE LA FERME,3525,92100,92012,Boulogne-Billancourt,92,,,92012000AV0129,,,1,70.07,115,,,,,,,,2,2,Appartement,68,3,,,,,,2.238976,48.831054
2019-971453,2019-02-25,000001,Vente,1680000,4,,RUE BLONDEAU,0740,92100,92012,Boulogne-Billancourt,92,,,92012000AP0010,,,5,194.43,,,,,,,,,1,1,Maison,139,6,,,,,,2.239071,48.83452
2019-971455,2019-02-27,000001,Vente,325000,48,,RUE MARCEL DASSAULT,6147,92100,92012,Boulogne-Billancourt,92,,,92012000AT0048,,,1064,40.22,1117,,,,,,,,2,2,Appartement,40,2,,,,,,2.251963,48.835612
2019-971463,2019-02-26,000001,Vente,640000,81,B,RUE DE BELLEVUE,0651,92100,92012,Boulogne-Billancourt,92,,,92012000AK0144,,,72,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.231465,48.834586
2019-971463,2019-02-26,000001,Vente,640000,81,B,RUE DE BELLEVUE,0651,92100,92012,Boulogne-Billancourt,92,,,92012000AK0144,,,19,68.02,36,,,,,,,,2,2,Appartement,70,3,,,,,,2.231465,48.834586
2019-971466,2019-02-07,000001,Vente,1761200,14,T,RUE DE L ANCIENNE MAIRIE,0120,92100,92012,Boulogne-Billancourt,92,,,920120000E0084,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.233991,48.84091
2019-971466,2019-02-07,000001,Vente,1761200,14,T,RUE DE L ANCIENNE MAIRIE,0120,92100,92012,Boulogne-Billancourt,92,,,920120000E0084,,,1,130.41,20,,,,,,,,2,2,Appartement,133,5,,,,,,2.233991,48.84091
2019-971466,2019-02-07,000001,Vente,1761200,14,T,RUE DE L ANCIENNE MAIRIE,0120,92100,92012,Boulogne-Billancourt,92,,,920120000E0084,,,30,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.233991,48.84091
2019-971467,2019-02-27,000001,Vente,950000,132,T,RUE DU POINT DU JOUR,7232,92100,92012,Boulogne-Billancourt,92,,,92012000BG0070,,,20,111.01,78,,,,,,,,2,2,Appartement,110,5,,,,,,2.244481,48.828404
2019-971467,2019-02-27,000001,Vente,950000,132,T,RUE DU POINT DU JOUR,7232,92100,92012,Boulogne-Billancourt,92,,,92012000BG0070,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.244481,48.828404
2019-971468,2019-02-14,000001,Vente,350000,10,,RUE PAU CASALS,7134,92100,92012,Boulogne-Billancourt,92,,,920120000J0115,,,311,39.56,559,,,,,,,,2,2,Appartement,40,2,,,,,,2.238844,48.847427
2019-971469,2019-01-18,000001,Vente,220000,38,,RUE DE LA ROCHEFOUCAULD,5110,92100,92012,Boulogne-Billancourt,92,,,920120000R0161,,,2,36.04,27,,,,,,,,2,2,Appartement,35,2,,,,,,2.242756,48.84561
2019-971470,2019-02-07,000001,Vente,197440,50,,RUE DES PEUPLIERS,7195,92100,92012,Boulogne-Billancourt,92,,,92012000BO0012,,,29,28.66,36,,,,,,,,2,2,Appartement,30,2,,,,,,2.254403,48.835075
2019-971472,2019-01-28,000001,Vente,114000,53,,BD D AUTEUIL,0170,92100,92012,Boulogne-Billancourt,92,,,920120000S0103,,,1016,11.51,,,,,,,,,1,3,Dépendance,,0,,,,,,2.244086,48.846785
2019-971474,2019-02-27,000001,Vente,223000,1,,RUE MAITRE JACQUES,6135,92100,92012,Boulogne-Billancourt,92,,,920120000O0209,,,80,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.243682,48.840132
2019-971474,2019-02-27,000001,Vente,223000,1,,RUE MAITRE JACQUES,6135,92100,92012,Boulogne-Billancourt,92,,,920120000O0209,,,29,,87,23.83,,,,,,,2,2,Appartement,23,1,,,,,,2.243682,48.840132
2019-971475,2019-02-26,000001,Vente,23000,56,,RUE DU CHEMIN VERT,1435,92100,92012,Boulogne-Billancourt,92,,,92012000AS0014,,,610,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.249327,48.837676
